ModbusManager 1.0.9
20200624
Product: F730
Database: 8310
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"NIBE Inverter 216-state";"";32260;"";u8;1;0;0;0;R;
"BT1 Outdoor Temperature";"Current outdoor temperature";40004;"°C";s16;10;0;0;0;R;
"EP23-BT2 Supply temp S4";"Supply temperature for system 4";40005;"°C";s16;10;0;0;0;R;
"EP22-BT2 Supply temp S3";"Supply temperature for system 3";40006;"°C";s16;10;0;0;0;R;
"EP21-BT2 Supply temp S2";"Supply temperature for system 2";40007;"°C";s16;10;0;0;0;R;
"BT2 Supply temp S1";"Supply temperature for system 1";40008;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT3 Return temp";"Return temperature";40012;"°C";s16;10;0;0;0;R;
"BT7 HW Top";"Hot water top temperature, BT7";40013;"°C";s16;10;0;0;0;R;
"BT6 HW Load";"Hot water load temperature, BT6";40014;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT12 Condensor Out";"Condensor out temperature, BT12";40017;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT14 Hot Gas Temp";"Hot gas temperature, BT14";40018;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT15 Liquid Line";"Liquid line temperature, BT15";40019;"°C";s16;10;0;0;0;R;
"EB100-BT16 Evaporator temp";"";40020;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT17 Suction";"Suction temperature, BT17";40022;"°C";s16;10;0;0;0;R;
"BT20 Exhaust air temp. 1";"";40025;"°C";s16;10;0;0;0;R;
"BT21 Vented air temp. 1";"";40026;"°C";s16;10;0;0;0;R;
"EP23-BT50 Room Temp S4";"";40030;"°C";s16;10;0;0;0;R;
"EP22-BT50 Room Temp S3";"";40031;"°C";s16;10;0;0;0;R;
"EP21-BT50 Room Temp S2";"";40032;"°C";s16;10;0;0;0;R;
"BT50 Room Temp S1";"";40033;"°C";s16;10;0;0;0;R;
"BT53 Solar Panel Temp";"Used in Solar and AHPS Docking accessories";40043;"°C";s16;10;0;0;0;R;
"BT54 Solar Load Temp";"Used in Solar and AHPS Docking accessories";40044;"°C";s16;10;0;0;0;R;
"EB100-BS1 Air flow";"";40050;"";s16;10;0;0;0;R;
"EB100-BS1 Air flow unfiltered";"Unfiltered air flow value";40051;"";s16;100;0;0;0;R;
