Title	Register type	Register	Division factor	Unit	Size of variable	Min value	Max value	Default value
Aktuell ute­temperatur (BT1)	MODBUS_INPUT_REGISTER	1	10	°C	2	0	0	0
Fram­ledning (EP23-BT2)	MODBUS_INPUT_REGISTER	2	10	°C	2	0	0	0
Fram­ledning (EP22-BT2)	MODBUS_INPUT_REGISTER	3	10	°C	2	0	0	0
Fram­ledning (EP21-BT2)	MODBUS_INPUT_REGISTER	4	10	°C	2	0	0	0
Fram­ledning (BT2)	MODBUS_INPUT_REGISTER	5	10	°C	2	0	0	0
Retur­ledning (BT3)	MODBUS_INPUT_REGISTER	7	10	°C	2	0	0	0
Varm­vatten topp (BT7)	MODBUS_INPUT_REGISTER	8	10	°C	2	0	0	0
Varm­vatten laddning (BT6)	MODBUS_INPUT_REGISTER	9	10	°C	2	0	0	0
Köld­bärare in (BT10)	MODBUS_INPUT_REGISTER	10	10	°C	2	0	0	0
Köld­bärare ut (BT11)	MODBUS_INPUT_REGISTER	11	10	°C	2	0	0	0
Kondensor (BT12)	MODBUS_INPUT_REGISTER	12	10	°C	2	0	0	0
Hetgas (BT14)	MODBUS_INPUT_REGISTER	13	10	°C	2	0	0	0
Vätske­ledning (BT15)	MODBUS_INPUT_REGISTER	14	10	°C	2	0	0	0
Suggas (BT17)	MODBUS_INPUT_REGISTER	16	10	°C	2	0	0	0
Kollektor in (AZ10-BT26)	MODBUS_INPUT_REGISTER	21	10	°C	2	0	0	0
Kollektor ut (AZ10-BT27)	MODBUS_INPUT_REGISTER	22	10	°C	2	0	0	0
Roomsensor 1-1	MODBUS_INPUT_REGISTER	26	10	°C	2	0	0	0
Retur­ledning (EQ1-BT65)	MODBUS_INPUT_REGISTER	31	10	°C	2	0	0	0
Temperatur­begränsare (EB100-FD1)	MODBUS_INPUT_REGISTER	36	1		2	0	0	0
Medel­temperatur (BT1)	MODBUS_INPUT_REGISTER	37	10	°C	2	0	0	0
Pann­temperatur (BT52)	MODBUS_INPUT_REGISTER	38	10	°C	2	0	0	0
Flödes­givare (BF1)	MODBUS_INPUT_REGISTER	40	10	l/m	2	0	0	0
Elanod (EB100-FR1)	MODBUS_INPUT_REGISTER	41	1		2	0	0	0
Ström (BE3)	MODBUS_INPUT_REGISTER	46	10	A	6	0	0	0
Ström (BE2)	MODBUS_INPUT_REGISTER	48	10	A	6	0	0	0
Ström (BE1)	MODBUS_INPUT_REGISTER	50	10	A	6	0	0	0
Pool (CL12-BT51)	MODBUS_INPUT_REGISTER	59	10	°C	2	0	0	0
Kollektor in (AZ13-BT26)	MODBUS_INPUT_REGISTER	66	10	°C	2	0	0	0
Kollektor in (AZ12-BT26)	MODBUS_INPUT_REGISTER	67	10	°C	2	0	0	0
