Title	Register type	Register	Division factor	Unit	Size of variable	Min value	Max value	Default value	
Current outdoor temperature (BT1)	MODBUS_INPUT_REGISTER	1	10	°C	s16	0	0	0
Supply line (EP23-BT2)	MODBUS_INPUT_REGISTER	2	10	°C	s16	0	0	0
Supply line (EP22-BT2)	MODBUS_INPUT_REGISTER	3	10	°C	s16	0	0	0
Supply line (EP21-BT2)	MODBUS_INPUT_REGISTER	4	10	°C	s16	0	0	0
Supply line (BT2)	MODBUS_INPUT_REGISTER	5	10	°C	s16	0	0	0
Return line (BT3)	MODBUS_INPUT_REGISTER	7	10	°C	s16	0	0	0
Hot water top (BT7)	MODBUS_INPUT_REGISTER	8	10	°C	s16	0	0	0
Hot water charging (BT6)	MODBUS_INPUT_REGISTER	9	10	°C	s16	0	0	0
Condenser sensor supply line (BT12)	MODBUS_INPUT_REGISTER	12	10	°C	s16	0	0	0
Discharge (BT14)	MODBUS_INPUT_REGISTER	13	10	°C	s16	0	0	0
Liquid line (BT15)	MODBUS_INPUT_REGISTER	14	10	°C	s16	0	0	0
Suction gas (BT17)	MODBUS_INPUT_REGISTER	16	10	°C	s16	0	0	0
Exh. air (BT20)	MODBUS_INPUT_REGISTER	19	10	°C	s16	0	0	0
Extr. air (BT21)	MODBUS_INPUT_REGISTER	20	10	°C	s16	0	0	0
Return line (BT62)	MODBUS_INPUT_REGISTER	33	10	°C	s16	0	0	0
Temperature limiter (EB100-FD1)	MODBUS_INPUT_REGISTER	36	1		s16	0	0	0
Average temperature (BT1)	MODBUS_INPUT_REGISTER	37	10	°C	s16	0	0	0
Flow sensor (BF1)	MODBUS_INPUT_REGISTER	40	10	l/min	s16	0	0	0
Electrical anode (EB100-FR1)	MODBUS_INPUT_REGISTER	41	1		s16	0	0	0
Low press (BP8)	MODBUS_INPUT_REGISTER	2308	100	bar	s16	0	0	0
Return line (EP23-BT3)	MODBUS_INPUT_REGISTER	75	10	°C	s16	0	0	0
