ModbusManager 1.0.9
20200624
Product: SMO20
Database: 8310
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"BT1 Outdoor Temperature";"Current outdoor temperature";40004;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT3 Return temp";"Return temperature";40012;"°C";s16;10;0;0;0;R;
"BT7 HW Top";"Hot water top temperature, BT7";40013;"°C";s16;10;0;0;0;R;
"BT6 HW Load";"Hot water load temperature, BT6";40014;"°C";s16;10;0;0;0;R;
"BT50 Room Temp S1";"";40033;"°C";s16;10;0;0;0;R;
"EQ1-BT64 Cool Supply Temp";"Cool supply temperature, BT64";40045;"°C";s16;10;0;0;0;R;
"EB100-FD1 Temperature limiter";"";40054;"";s16;1;0;0;0;R;
"BT1 Average";"EB100-BT1 Outdoor temperature average";40067;"°C";s16;10;0;0;0;R;
"BT25 Ext. Supply";"External supply temperature, BT25";40071;"°C";s16;10;0;0;0;R;
"EB100-FR1 Anode Status";"";40074;"";s16;1;0;0;0;R;
"BT63 Add Supply Temp";"";40121;"ºC";s16;10;0;0;0;R;
"BT71 Ext. Return Temp";"External return temperature, BT71";40152;"°C";s16;10;0;0;0;R;
"BT1 Average, 1h";"EB100-BT1 Outdoor temperature average, 1h";40185;"°C";s16;10;0;0;0;R;
"BT50 Room Temp S1 Average";"";40195;"°C";s16;10;0;0;0;R;
"BT74 Average";"BT74 heating cooling sensor average";40212;"°C";s16;10;0;0;0;R;
"BT25 Ext. supply temp, cooling";"";40216;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S8";"Calculated supply temperature in cooling mode for the climate system";40221;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S7";"Calculated supply temperature in cooling mode for the climate system";40222;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S6";"Calculated supply temperature in cooling mode for the climate system";40223;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S5";"Calculated supply temperature in cooling mode for the climate system";40224;"°C";s16;10;0;0;0;R;
"EB101-EP14 Tot. Cooling op.time compr";"";40737;"h";u32;1;0;9999999;0;R;
"EB101-EP14 Tot. Pool1 op.time compr";"";40739;"h";u32;1;0;9999999;0;R;
"EB101-EP14 Tot. Pool2 op.time compr";"";40741;"h";u32;1;0;9999999;0;R;
"Tot. ext. HW add op.time";"Total external hw-electric additive operation time";40755;"h";s32;10;0;9999999;0;R;
"EB108 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40775;"Hz";u8;1;0;0;0;R;
"EB107 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40776;"Hz";u8;1;0;0;0;R;
"EB106 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40777;"Hz";u8;1;0;0;0;R;
