Title	Register type	Register	Division factor	Unit	Size of variable	Min value	Max value	Default value	
Current outdoor temperature (BT1)	MODBUS_INPUT_REGISTER	1	10	°C	s16	0	0	0
Supply line (EP23-BT2)	MODBUS_INPUT_REGISTER	2	10	°C	s16	0	0	0
Supply line (EP22-BT2)	MODBUS_INPUT_REGISTER	3	10	°C	s16	0	0	0
Supply line (EP21-BT2)	MODBUS_INPUT_REGISTER	4	10	°C	s16	0	0	0
Hot water top (BT7)	MODBUS_INPUT_REGISTER	8	10	°C	s16	0	0	0
Hot water charging (BT6)	MODBUS_INPUT_REGISTER	9	10	°C	s16	0	0	0
Collector in (AZ10-BT26)	MODBUS_INPUT_REGISTER	21	10	°C	s16	0	0	0
Collector out (AZ10-BT27)	MODBUS_INPUT_REGISTER	22	10	°C	s16	0	0	0
Return line (EQ1-BT65)	MODBUS_INPUT_REGISTER	31	10	°C	s16	0	0	0
Temperature limiter (EB100-FD1)	MODBUS_INPUT_REGISTER	36	1		s16	0	0	0
Average temperature (BT1)	MODBUS_INPUT_REGISTER	37	10	°C	s16	0	0	0
External supply line (BT25)	MODBUS_INPUT_REGISTER	39	10	°C	s16	0	0	0
Flow sensor (BF1)	MODBUS_INPUT_REGISTER	40	10	l/min	s16	0	0	0
Electrical anode (EB100-FR1)	MODBUS_INPUT_REGISTER	41	1		s16	0	0	0
Pool (CL12-BT51)	MODBUS_INPUT_REGISTER	59	10	°C	s16	0	0	0
Collector in (AZ13-BT26)	MODBUS_INPUT_REGISTER	66	10	°C	s16	0	0	0
Collector in (AZ12-BT26)	MODBUS_INPUT_REGISTER	67	10	°C	s16	0	0	0
Collector in (AZ11-BT26)	MODBUS_INPUT_REGISTER	68	10	°C	s16	0	0	0
Collector out (AZ13-BT27)	MODBUS_INPUT_REGISTER	69	10	°C	s16	0	0	0
Collector out (AZ12-BT27)	MODBUS_INPUT_REGISTER	70	10	°C	s16	0	0	0
